緯度,経度,更新日,コンテンツ
35.071005425067149,133.88411674974182,<strong>中正小学校</strong><br>1階職員室<br>津山市宮部下686<br>57-2010,20200401
35.053982001952434,133.91910093887623,<strong>誠道小学校</strong><br>1階保健室<br>津山市久米川南919<br>57-2785,20200401
35.023747949202338,133.91021822918694,<strong>秀実小学校</strong><br>1階職員室前廊下<br>津山市桑上1<br>57-3009,20200401
35.066296107933169,134.0377919361469,<strong>津山東中学校</strong><br>1階職員室<br>津山市押入1110<br>26-1413,20200401
35.085788909158026,134.02111238784602,<strong>中道中学校</strong><br>１階事務室前廊下<br>津山市勝部355<br>23-6755,20200401
35.0719257136728,133.99956696497523,<strong>鶴山中学校</strong><br>１階職員室<br>津山市山北290<br>22-8231,20200401
35.077680745489559,134.000105523502,<strong>西苫田公民館</strong><br>玄関入り左側の壁<br>津山市小原67-1<br>24-3210,20200401
35.062402357333106,133.9722212027898,<strong>津山西中学校</strong><br>1階職員室<br>津山市二宮1256-1<br>28-0141,20200401
35.100013072981106,134.10579989746108,<strong>勝北中学校</strong><br>1階職員室<br>津山市原371<br>36-2366,20200401
35.062063811634907,133.89919407803393,<strong>久米総合文化運動公園市民プール</strong><br>久米総合文化運動公園市民プール<br>津山市中北下1253<br>57-2311,20200401
35.060344130161056,133.9004118926338,<strong>久米総合文化運動公園体育館</strong><br>玄関ホール<br>津山市中北下1271<br>57-2900,20200401
35.054892781100662,133.89669692555682,<strong>久米中学校</strong><br>1階職員室前廊下<br>津山市南方中1487-1<br>57-2004,20200401
35.055864967118239,133.89882126751118,<strong>大倭ふれあい学習館</strong><br>玄関<br>津山市南方中1541-1<br>57-2180,20200401
35.069064430131178,134.00817484160638,<strong>津山総合体育館</strong><br>津山総合体育館<br>津山市山北669<br>24-0202,20200401
35.067501838603206,134.01466098140008,<strong>津山東体育館</strong><br>管理室<br>津山市林田1200-2<br>22-6623,20200401
35.082442349591382,134.01766799066439,<strong>津山陸上競技場</strong><br>事務所内<br>津山市志戸部245<br>24-3773,20200401
35.087547633745167,134.01710545240437,<strong>津山スポーツセンター</strong><br>野球場本部席<br>津山市勝部20-2<br>24-3773,20200401
35.105088885144411,134.08763961552802,<strong>勝北総合スポーツ公園管理棟</strong><br>管理棟事務所玄関ホール<br>津山市西下1100-1<br>36-5800,20200401
35.096342811612047,134.00913324066386,<strong>グラスハウス</strong><br>事務室<br>津山市大田512<br>27-7140,20200401
35.09244681870404,134.00265852108717,<strong>リージョンセンター</strong><br>事務室<br>津山市大田920<br>27-7150,20200401
35.236433846321063,134.04994169660824,<strong>黒木キャンプ場</strong><br>黒木キャンプ場黒木第３キャンプ場　管理棟内<br>津山市加茂町黒木646-9<br>42-7615,20200401
35.053552519560817,133.92269879682613,<strong>久米ふれあい学習館</strong><br>玄関<br>津山市宮尾471-1<br>57-2919,20200401
35.063317840436476,133.85397567368534,<strong>大井西ふれあい学習館</strong><br>玄関<br>津山市坪井上32-12<br>57-8676,20200401
35.070352877187609,133.88135448129324,<strong>大井東ふれあい学習館</strong><br>玄関<br>津山市宮部下860-1<br>57-2095,20200401
35.023235451001845,133.9086647750311,<strong>倭文ふれあい学習館</strong><br>玄関<br>津山市里公文1676-7<br>57-2413,20200401
35.039175254055451,133.91835638106213,<strong>久米山ふれあいロッジ</strong><br>ロビー<br>津山市神代1507-1<br>57-2143,20200401
35.052728237554447,133.99355822387926,<strong>中央公民館</strong><br>事務所右側壁<br>津山市大谷600<br>24-5111,20200401
35.060939026080085,133.94499712436738,<strong>院庄公民館</strong><br>玄関入り右側壁<br>津山市神戸187-4<br>28-0335,20200401
35.100940398520144,133.99760323924306,<strong>一宮公民館</strong><br>玄関入りすぐの研修室の壁<br>津山市東一宮84-1<br>27-0390,20200401
35.116500215270506,134.02592121895697,<strong>高田公民館</strong><br>玄関入りすぐ右側の壁<br>津山市下横野855-2<br>27-0371,20200401
35.045106724489315,134.06572116584604,<strong>大崎公民館</strong><br>玄関ホール階段と倉庫の間の壁<br>津山市福力221<br>26-1420,20200401
35.123326757092087,134.07112705986776,<strong>清泉公民館</strong><br>1階トイレと和室の間の壁<br>津山市堀坂256-2<br>29-1516,20200401
35.085726550741782,134.01532763276316,<strong>東苫田公民館</strong><br>玄関入り正面の壁面<br>津山市勝部20-7<br>22-2686,20200401
35.06064043231607,133.96859732282346,<strong>二宮公民館</strong><br>玄関入りすぐ左折廊下の壁<br>津山市二宮1982-2<br>28-3292,20200401
35.049114794655523,133.97144659172369,<strong>佐良山公民館</strong><br>玄関入りすぐ右側壁<br>津山市平福562<br>28-2543,20200401
35.020391675705071,134.02612247755241,<strong>福南公民館</strong><br>多目的トイレ横の壁<br>津山市押渕376<br>23-6374,20200401
35.058895333209271,134.00046142795568,<strong>津山市立図書館</strong><br>図書館入り口付近<br>津山市新魚町17<br>24-2919,20200401
35.05745577999825,133.99819792474185,<strong>ふれあいサロン</strong><br>事務室内<br>津山市南新座34<br>24-3600,20200401
35.066512281330205,133.99221281591463,<strong>津山市総合斎場</strong><br>会館棟待合ホール<br>津山市小田中1115<br>23-6548,20200401
35.056016322659694,133.92286734891633,<strong>道の駅久米の里</strong><br>道の駅久米の里<br>津山市宮尾563-1<br>57-7234,20200401
35.065055702015066,134.02564823944081,<strong>林田小学校</strong><br>1階職員室横玄関(東側入り口)<br>津山市川崎850<br>22-2764,20200401
35.021839921860824,133.9065899282308,<strong>倭文保育所</strong><br>職員室<br>津山市里公文1754-1<br>57-3021,20200401
35.06218531621235,133.98982977617882,<strong>城西公民館</strong><br>玄関入り会議室１と２の間の壁<br>津山市小田中1312-10<br>31-0102,20200401
35.060438705024289,133.89975907243027,<strong>久米公民館</strong><br>事務所内<br>津山市中北下1271<br>57-2936,20200401
35.045206265921145,133.94427689548888,<strong>大久保会館</strong><br>１階和室前<br>津山市久米川南2902-1<br>57-2351,20200401
35.183203498379875,134.04077035271558,<strong>津山市加茂町斎場</strong><br>ホール<br>津山市加茂町宇野2200-1<br>42-2911,20200401
35.060965291077267,134.00667206777388,<strong>雇用労働センター</strong><br>エントランス<br>津山市山下92-1<br>24-3633,20200401
35.054387810006418,133.99066818361405,<strong>ときわ園</strong><br>1階玄関<br>津山市井口100-1<br>0868-22-4973,20200401
35.175668291749247,134.0458339150224,<strong>ウッディハウス加茂</strong><br>ウッディハウス加茂<br>津山市加茂町中原516-1<br>0868-42-4466,20200401
35.104788871995282,134.11083803108627,<strong>勝北公民館</strong><br>玄関ホール エレベータ横柱<br>津山市新野東584<br>36-2101,20200401
35.065569944449855,134.02227484405191,<strong>津山東公民館</strong><br>事務室の外<br>津山市川崎796-2<br>32-1511,20200401
